index,acc_x_n,acc_y_n,acc_z_n,gyr_x_n,gyr_y_n,gyr_z_n,mag_x_n,mag_y_n,mag_z_n,acc_x_r,acc_y_r,acc_z_r,gyr_x_r,gyr_y_r,gyr_z_r,mag_x_r,mag_y_r,mag_z_r,q1n,q2n,q3n,q4n,q1r,q2r,q3r,q4r
1927,-1.13671875,0.207275391,-0.794433594,-0.707868218,0.142212802,0.056459015,1393,-5991,-10850,-0.770751953,-0.034179688,-0.131103516,-0.598145981,1.184041421,-0.330231975,-6786,2935,4696,0.352620727,-0.44760333,0.460903784,0.680351074,0.591317506,0.320932517,0.537622402,-0.508240179
1928,-0.865966797,0.262451172,-0.857910156,-0.404267853,-0.769120923,0.161920194,1352,-5798,-10700,-0.849365234,0.010498047,-0.155273438,-0.493750066,0.387756255,0.253532936,-6782,2864,4526,0.352569911,-0.441022369,0.453877738,0.689339341,0.59228838,0.323061971,0.546452394,-0.496200785
1929,-0.913574219,0.292724609,-0.563720703,-0.401604692,-1.488707049,-0.438888948,1352,-5798,-10700,-0.73828125,0.025146484,-0.190185547,0.037284255,0.410126808,0.299339307,-6782,2864,4526,0.367307921,-0.429243317,0.435931022,0.700570632,0.589825704,0.332274137,0.550017467,-0.489060653
1930,-0.900146484,0.315917969,-0.483886719,-0.795219901,-1.432248034,0.75633775,1315,-5690,-10703,-0.738769531,0.063964844,-0.205810547,-0.152865447,-0.819188352,0.706270321,-6755,2820,4322,0.361125003,-0.410320974,0.4227188,0.722865303,0.605860764,0.331789565,0.53816301,-0.482937878
1931,-0.973632813,0.327636719,-0.450195313,-1.622930368,3.307646074,1.881256994,1315,-5690,-10703,-0.899658203,0.048583984,-0.165039063,0.188551805,-1.341167925,1.021588594,-6755,2820,4322,0.291088427,-0.454277068,0.438585515,0.718708995,0.627748461,0.333299537,0.514164367,-0.480081547
1932,-0.707275391,0.260498047,-0.603027344,-2.402703935,3.307646074,2.356364933,1273,-5581,-10605,-1.132080078,-0.020996094,-0.157226563,0.083090626,-0.780838831,0.540621701,-6691,2693,3934,0.205026041,-0.495325608,0.444449238,0.717691952,0.639360805,0.333394699,0.501175757,-0.47842303
1933,-0.644775391,0.289306641,-0.526855469,-1.79124215,1.316666843,2.038383498,1273,-5581,-10605,-1.152587891,0.0078125,-0.197753906,-0.182692851,-0.041545313,-0.011717909,-6691,2693,3934,0.145864988,-0.504772472,0.445057281,0.725156654,0.63991865,0.331738268,0.503810802,-0.476055163
1934,-0.668945313,0.25,-0.428955078,-1.766741067,0.524642735,2.201368957,1552,-5442,-10758,-1.000488281,0.126708984,-0.276123047,-0.148071757,0.546480656,-0.016511599,-6605,2666,4205,0.091755605,-0.499472512,0.443436757,0.738560736,0.634269904,0.336578378,0.513588064,-0.469727564
1935,-0.702392578,0.207275391,-0.379638672,-1.333178442,1.049818102,2.036785601,1552,-5442,-10758,-1.337890625,-0.243408203,-0.131835938,1.65222514,0.751011427,1.626658794,-6605,2666,4205,0.04008308,-0.501155301,0.44582921,0.740589648,0.628800734,0.380956112,0.497505436,-0.460402452
1936,-0.718505859,0.171875,-0.401367188,-0.708933482,2.183792094,1.905758076,1678,-5310,-10822,-1.357421875,-0.351318359,-0.046142578,-2.072471961,0.176301264,2.122539389,-6534,2662,4003,-0.0130792,-0.518763437,0.45545059,0.7233797,0.660013717,0.37645929,0.503286406,-0.411537471
1937,-0.69921875,0.168945313,-0.499023438,-0.03834952,2.969424616,1.352353202,1678,-5310,-10822,-0.840576172,-0.443847656,-0.23828125,-1.940911802,1.718271535,-1.192030904,-6534,2662,4003,-0.05810312,-0.550825062,0.467238187,0.689132974,0.644547867,0.351607391,0.55226171,-0.394888964
1938,-0.685302734,0.188232422,-0.558105469,0.320644595,0.785632521,0.513457458,1848,-5228,-10901,-0.831787109,-0.364990234,0.052001953,-3.047721551,0.575775428,0.447411063,-6429,2483,3608,-0.067154127,-0.559659281,0.476523637,0.674682915,0.661027196,0.31987422,0.580428731,-0.351889213
1939,-0.829345703,0.278808594,-0.551025391,0.41545313,0.128896997,0.523044838,1848,-5228,-10901,-0.771484375,-0.248291016,0.170410156,-2.937466682,0.212520255,1.345961615,-6429,2483,3608,-0.069013365,-0.559095696,0.487752675,0.666893159,0.685218196,0.296180689,0.594320285,-0.29922637
1940,-0.809082031,0.251708984,-0.626220703,0.456465811,0.788828315,1.138767682,1984,-5169,-10902,-0.928222656,-0.37109375,-0.064941406,-2.100701468,-0.762729336,1.040763354,-6359,2461,3224,-0.084770952,-0.561208338,0.505315162,0.650012057,0.710934802,0.273617244,0.591009582,-0.265354452
1941,-0.780029297,0.231933594,-0.649169922,0.46339003,-0.855407342,1.766741067,1984,-5169,-10902,-0.819580078,-0.288330078,-0.187255859,-3.467968372,-1.720934697,-0.053795854,-6359,2461,3224,-0.091622318,-0.535103966,0.532353219,0.649514547,0.746096095,0.213060093,0.585589317,-0.234587224
1942,-1.128662109,0.157470703,-0.828613281,-0.002663161,-0.053263222,2.948119327,1995,-5140,-10874,-0.875732422,-0.127441406,0.015380859,-4.763329926,-2.998719388,-0.134223319,-6276,2356,3010,-0.126081087,-0.505155631,0.562837397,0.641977735,0.794854218,0.125322465,0.561642669,-0.192506012
1943,-0.907470703,0.071044922,-0.829101563,-0.550741713,0.857537871,1.855158015,1995,-5140,-10874,-0.973876953,-0.084716797,0.092773438,-3.651193854,-1.834385359,0.246076085,-6276,2356,3010,-0.161570678,-0.496823804,0.572014855,0.632344866,0.821945033,0.062840826,0.545421763,-0.151566797
1944,-0.887451172,0.039306641,-0.720458984,-0.787230418,-0.703074528,1.507881809,1950,-5153,-10750,-0.890869141,-0.11328125,0.002685547,-2.90337822,-0.355798322,0.296143513,-6214,2350,3039,-0.176591834,-0.471463619,0.578989708,0.641333219,0.827829586,0.017203595,0.54875912,-0.115176566
1945,-0.675048828,0.006347656,-0.563964844,-0.348341471,-0.663659744,-0.092145374,1950,-5153,-10750,-0.869873047,-0.140136719,-0.055175781,-3.877562547,-1.497229165,0.961401153,-6214,2350,3039,-0.167288946,-0.466491947,0.576076093,0.650027697,0.843392871,-0.039984885,0.53277048,-0.056967445
